#Variables:
#tasmax_CCSM4_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_GFDL-ESM2M_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_GFDL-ESM2G_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_HadGEM2-CC365_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_MIROC5_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_NorESM1-M_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp45(K):Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp45(K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 40.3545 Latitude, -117.1889 Longitude (closest value to Latitude:40.3384, Longitude:-117.2018) "
#Original Data File(s):
#agg_macav2metdata_tasmax_CCSM4_r6i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_GFDL-ESM2M_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_GFDL-ESM2G_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_HadGEM2-CC365_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_MIROC5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_NorESM1-M_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,tasmax_CCSM4_rcp45(K),tasmax_GFDL-ESM2M_rcp45(K),tasmax_GFDL-ESM2G_rcp45(K),tasmax_HadGEM2-CC365_rcp45(K),tasmax_MIROC5_rcp45(K),tasmax_NorESM1-M_rcp45(K),tasmax_bcc-csm1-1_rcp45(K),tasmax_bcc-csm1-1_rcp45(K),tasmax_bcc-csm1-1_rcp45(K),tasmax_bcc-csm1-1_rcp45(K)"
""
yyyy-mm-dd,tasmax_CCSM4_rcp45(K),tasmax_GFDL-ESM2M_rcp45(K),tasmax_GFDL-ESM2G_rcp45(K),tasmax_HadGEM2-CC365_rcp45(K),tasmax_MIROC5_rcp45(K),tasmax_NorESM1-M_rcp45(K),tasmax_bcc-csm1-1_rcp45(K),tasmax_bcc-csm1-1_rcp45(K),tasmax_bcc-csm1-1_rcp45(K),tasmax_bcc-csm1-1_rcp45(K)
2006-01-01,270.884094,276.240112,283.618713,286.532043,279.266388,281.967010,281.613342,281.613342,281.613342,281.613342
2006-01-02,274.037415,276.871307,283.112671,282.845581,281.428345,285.455231,282.346893,282.346893,282.346893,282.346893
2006-01-03,275.837494,276.826080,284.429565,279.415222,279.246185,284.563629,282.638580,282.638580,282.638580,282.638580
2006-01-04,275.115021,274.574829,286.924164,282.622375,277.206299,283.917358,280.960754,280.960754,280.960754,280.960754
2006-01-05,275.347382,275.035065,286.226776,285.106659,276.120728,285.322632,279.518707,279.518707,279.518707,279.518707
2006-01-06,276.185547,276.804413,285.412598,284.510803,275.876801,284.743713,279.086182,279.086182,279.086182,279.086182
2006-01-07,276.912872,276.840271,278.652893,279.332275,276.871643,282.435364,277.447174,277.447174,277.447174,277.447174
2006-01-08,275.261688,277.337708,277.995209,278.516388,276.162537,284.153046,281.759460,281.759460,281.759460,281.759460
2006-01-09,275.931610,277.914886,279.892609,281.518005,279.328033,285.563293,283.232941,283.232941,283.232941,283.232941
2006-01-10,277.457397,277.910492,279.556671,282.309875,279.818756,282.346222,282.962158,282.962158,282.962158,282.962158
2006-01-11,279.913849,279.360168,278.675049,282.524414,280.588837,277.267426,283.571594,283.571594,283.571594,283.571594
2006-01-12,280.138611,280.115295,279.278687,282.049438,280.367188,274.988129,281.573425,281.573425,281.573425,281.573425
2006-01-13,279.837494,279.416290,276.536285,281.257965,281.170105,274.072662,272.838135,272.838135,272.838135,272.838135
2006-01-14,279.568146,279.250793,276.267944,279.484131,278.819153,277.759369,272.712738,272.712738,272.712738,272.712738
2006-01-15,277.011414,280.118469,277.966797,282.178772,279.954926,280.187775,270.868408,270.868408,270.868408,270.868408
2006-01-16,274.973328,283.477814,276.683380,284.292694,278.800537,280.386353,275.925323,275.925323,275.925323,275.925323
2006-01-17,273.130432,282.939636,277.538086,281.163849,277.054047,280.116608,278.995544,278.995544,278.995544,278.995544
2006-01-18,273.169312,282.494965,275.870148,283.478302,278.951111,278.367828,283.294891,283.294891,283.294891,283.294891
2006-01-19,273.634247,276.238098,276.448547,280.364288,279.120636,277.721405,286.694611,286.694611,286.694611,286.694611
2006-01-20,275.168335,274.391876,277.893646,278.104218,281.713287,277.561157,288.303497,288.303497,288.303497,288.303497
2006-01-21,276.703430,273.635864,276.831818,276.908020,280.934509,276.882385,290.372620,290.372620,290.372620,290.372620
2006-01-22,276.252991,274.935364,276.300476,273.756256,275.575317,278.856628,292.256409,292.256409,292.256409,292.256409
2006-01-23,272.958679,276.124786,276.403473,275.111664,274.351257,278.010498,293.053223,293.053223,293.053223,293.053223
2006-01-24,275.132812,276.577728,272.753815,277.528870,271.993958,280.928436,290.784241,290.784241,290.784241,290.784241
2006-01-25,274.651306,276.251801,270.302338,277.675079,272.252136,279.568024,287.887177,287.887177,287.887177,287.887177
2006-01-26,276.321960,274.908478,268.535156,278.780884,275.794098,278.274017,289.268890,289.268890,289.268890,289.268890
2006-01-27,278.159821,274.308380,268.627136,280.728302,279.642792,278.640564,290.994904,290.994904,290.994904,290.994904
