#Variables:
#tasmax_CCSM4_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_GFDL-ESM2M_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_GFDL-ESM2G_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_HadGEM2-CC365_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_MIROC5_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_NorESM1-M_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmax_bcc-csm1-1_rcp85(K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 40.3545 Latitude, -117.1889 Longitude (closest value to Latitude:40.3388, Longitude:-117.2018) "
#Original Data File(s):
#agg_macav2metdata_tasmax_CCSM4_r6i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_GFDL-ESM2M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_GFDL-ESM2G_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_HadGEM2-CC365_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_MIROC5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,tasmax_CCSM4_rcp85(K),tasmax_GFDL-ESM2M_rcp85(K),tasmax_GFDL-ESM2G_rcp85(K),tasmax_HadGEM2-CC365_rcp85(K),tasmax_MIROC5_rcp85(K),tasmax_NorESM1-M_rcp85(K),tasmax_bcc-csm1-1_rcp85(K),tasmax_bcc-csm1-1_rcp85(K),tasmax_bcc-csm1-1_rcp85(K),tasmax_bcc-csm1-1_rcp85(K)"
""
yyyy-mm-dd,tasmax_CCSM4_rcp85(K),tasmax_GFDL-ESM2M_rcp85(K),tasmax_GFDL-ESM2G_rcp85(K),tasmax_HadGEM2-CC365_rcp85(K),tasmax_MIROC5_rcp85(K),tasmax_NorESM1-M_rcp85(K),tasmax_bcc-csm1-1_rcp85(K),tasmax_bcc-csm1-1_rcp85(K),tasmax_bcc-csm1-1_rcp85(K),tasmax_bcc-csm1-1_rcp85(K)
2006-01-01,277.488678,276.318268,283.614990,273.677307,279.329834,282.143982,280.886841,280.886841,280.886841,280.886841
2006-01-02,276.412048,276.757111,282.865540,272.372467,282.147156,285.480743,281.620514,281.620514,281.620514,281.620514
2006-01-03,276.594147,276.761871,284.050568,275.355743,279.769379,284.620514,281.577209,281.577209,281.577209,281.577209
2006-01-04,276.577881,274.537262,286.847046,280.199005,277.138397,283.893921,279.870575,279.870575,279.870575,279.870575
2006-01-05,276.563232,275.117554,286.118591,283.460266,276.158356,285.134796,278.734589,278.734589,278.734589,278.734589
2006-01-06,277.706451,276.664856,285.139557,280.564453,275.966949,284.751007,278.227478,278.227478,278.227478,278.227478
2006-01-07,278.563782,277.570648,278.867126,273.717438,276.660797,282.772247,277.818634,277.818634,277.818634,277.818634
2006-01-08,281.709930,277.607452,278.209503,273.168671,276.163330,283.799591,280.049438,280.049438,280.049438,280.049438
2006-01-09,280.775238,279.099396,280.198029,274.854065,280.734528,285.425568,282.422302,282.422302,282.422302,282.422302
2006-01-10,280.913757,278.705261,279.639984,275.046082,280.878815,282.666565,282.024384,282.024384,282.024384,282.024384
2006-01-11,279.399078,280.351410,278.398621,272.723694,281.181152,276.836151,281.088654,281.088654,281.088654,281.088654
2006-01-12,279.029297,279.569519,279.784607,270.776550,281.468628,275.441345,273.806671,273.806671,273.806671,273.806671
2006-01-13,277.468903,279.744690,276.986481,273.456512,280.947845,274.253418,269.100861,269.100861,269.100861,269.100861
2006-01-14,276.324860,278.977295,276.029846,277.024139,279.601410,277.729797,273.870056,273.870056,273.870056,273.870056
2006-01-15,276.989685,279.608704,273.885193,282.766357,277.723480,278.622803,275.604462,275.604462,275.604462,275.604462
2006-01-16,278.270721,283.459015,273.671936,281.451477,277.368103,279.065308,274.844482,274.844482,274.844482,274.844482
2006-01-17,278.157440,283.897339,275.939941,283.111755,277.114594,278.750610,275.074036,275.074036,275.074036,275.074036
2006-01-18,279.476898,286.054352,277.960938,283.682129,277.258545,277.310333,276.034637,276.034637,276.034637,276.034637
2006-01-19,279.014648,277.928650,283.416229,279.821838,279.058838,276.314911,275.946686,275.946686,275.946686,275.946686
2006-01-20,278.744751,275.540527,281.267548,276.121704,279.943542,274.382446,274.853119,274.853119,274.853119,274.853119
2006-01-21,282.850494,273.522003,279.206757,273.998077,279.306763,274.612640,274.353546,274.353546,274.353546,274.353546
2006-01-22,281.371368,275.584229,275.588745,273.194977,278.108765,276.763153,275.114410,275.114410,275.114410,275.114410
2006-01-23,287.325226,274.946777,275.600098,273.667572,273.412079,277.309052,279.549988,279.549988,279.549988,279.549988
2006-01-24,287.195587,274.243683,275.395569,273.418518,274.511597,279.700195,279.522583,279.522583,279.522583,279.522583
2006-01-25,285.409515,271.746155,276.859131,273.232208,274.596497,279.164673,279.018768,279.018768,279.018768,279.018768
2006-01-26,282.501862,272.408752,278.437866,273.094269,275.309082,277.558563,278.623749,278.623749,278.623749,278.623749
2006-01-27,280.110931,273.031982,279.013794,275.370148,275.070740,272.231323,283.734253,283.734253,283.734253,283.734253
