#Variables:
#tasmin_CCSM4_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmin_GFDL-ESM2M_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmin_GFDL-ESM2G_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmin_HadGEM2-CC365_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmin_MIROC5_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmin_NorESM1-M_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmin_bcc-csm1-1_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmin_bcc-csm1-1_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmin_bcc-csm1-1_rcp45(K):Daily Minimum Near-Surface Air Temperature
#tasmin_bcc-csm1-1_rcp45(K):Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 40.3545 Latitude, -117.1889 Longitude (closest value to Latitude:40.3384, Longitude:-117.2018) "
#Original Data File(s):
#agg_macav2metdata_tasmin_CCSM4_r6i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_GFDL-ESM2M_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_GFDL-ESM2G_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_HadGEM2-CC365_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_MIROC5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_NorESM1-M_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,tasmin_CCSM4_rcp45(K),tasmin_GFDL-ESM2M_rcp45(K),tasmin_GFDL-ESM2G_rcp45(K),tasmin_HadGEM2-CC365_rcp45(K),tasmin_MIROC5_rcp45(K),tasmin_NorESM1-M_rcp45(K),tasmin_bcc-csm1-1_rcp45(K),tasmin_bcc-csm1-1_rcp45(K),tasmin_bcc-csm1-1_rcp45(K),tasmin_bcc-csm1-1_rcp45(K)"
""
yyyy-mm-dd,tasmin_CCSM4_rcp45(K),tasmin_GFDL-ESM2M_rcp45(K),tasmin_GFDL-ESM2G_rcp45(K),tasmin_HadGEM2-CC365_rcp45(K),tasmin_MIROC5_rcp45(K),tasmin_NorESM1-M_rcp45(K),tasmin_bcc-csm1-1_rcp45(K),tasmin_bcc-csm1-1_rcp45(K),tasmin_bcc-csm1-1_rcp45(K),tasmin_bcc-csm1-1_rcp45(K)
2006-01-01,256.252258,261.282501,270.268005,272.016449,267.538879,269.587921,271.501984,271.501984,271.501984,271.501984
2006-01-02,258.961670,261.854004,271.888367,273.581482,267.526123,269.456726,268.459229,268.459229,268.459229,268.459229
2006-01-03,262.497772,263.425995,271.496582,266.700012,266.592316,270.207642,267.304199,267.304199,267.304199,267.304199
2006-01-04,262.318115,260.018555,271.168274,266.707581,265.858002,270.347015,266.578888,266.578888,266.578888,266.578888
2006-01-05,261.753418,259.581604,273.876709,268.274658,264.564606,271.943848,266.315308,266.315308,266.315308,266.315308
2006-01-06,263.553497,261.680786,268.762878,268.396851,265.922211,271.548920,266.384613,266.384613,266.384613,266.384613
2006-01-07,265.832001,261.739319,266.107147,267.014343,263.770477,268.818146,265.734558,265.734558,265.734558,265.734558
2006-01-08,263.133240,264.724457,264.031311,264.719666,263.882202,267.379730,269.604492,269.604492,269.604492,269.604492
2006-01-09,262.790588,264.765472,268.311646,264.015839,263.762665,268.549408,271.751160,271.751160,271.751160,271.751160
2006-01-10,265.588867,264.465881,268.778168,264.133636,264.942413,267.013672,271.065369,271.065369,271.065369,271.065369
2006-01-11,267.704773,267.101257,267.352478,264.471039,264.938934,265.216034,272.196014,272.196014,272.196014,272.196014
2006-01-12,268.433807,266.819458,267.374817,264.590057,265.231140,263.393524,265.110199,265.110199,265.110199,265.110199
2006-01-13,270.126099,266.695892,264.659180,263.778992,265.535461,261.833221,259.730591,259.730591,259.730591,259.730591
2006-01-14,270.669342,267.764313,264.118439,264.094543,268.218414,262.504517,261.128815,261.128815,261.128815,261.128815
2006-01-15,266.965210,268.455322,264.871826,263.198090,268.433533,264.497101,259.836578,259.836578,259.836578,259.836578
2006-01-16,262.528168,269.661652,265.294281,262.800598,265.843719,265.824860,258.412811,258.412811,258.412811,258.412811
2006-01-17,260.212067,272.243774,267.488373,267.866455,265.324036,266.971375,265.004303,265.004303,265.004303,265.004303
2006-01-18,262.480927,267.189697,260.642334,271.273804,265.836151,262.912994,264.585663,264.585663,264.585663,264.585663
2006-01-19,258.207825,264.070251,260.960419,269.799469,271.959808,265.407471,265.839569,265.839569,265.839569,265.839569
2006-01-20,261.521271,262.487732,264.904114,269.867432,268.963257,263.577240,266.899506,266.899506,266.899506,266.899506
2006-01-21,265.025208,259.404327,264.851471,266.082336,265.740692,262.799957,266.476929,266.476929,266.476929,266.476929
2006-01-22,262.909943,260.129852,261.480652,262.636871,266.895477,262.558533,266.381989,266.381989,266.381989,266.381989
2006-01-23,258.302582,261.530884,263.204712,262.909729,264.707428,263.075287,267.247101,267.247101,267.247101,267.247101
2006-01-24,263.652649,261.552582,260.687653,267.612122,259.733521,261.535095,268.091797,268.091797,268.091797,268.091797
2006-01-25,263.586243,265.122864,256.338867,270.335541,256.947601,264.802063,271.341339,271.341339,271.341339,271.341339
2006-01-26,263.908081,259.853088,255.606674,269.905548,265.449982,262.087433,271.913544,271.913544,271.913544,271.913544
2006-01-27,267.143799,257.681488,255.068314,271.040863,264.368805,261.750427,268.092346,268.092346,268.092346,268.092346
2006-01-28,268.589294,262.728973,253.912399,270.736969,271.493744,261.973663,267.754211,267.754211,267.754211,267.754211
2006-01-29,263.845306,268.431763,254.729218,274.122894,271.379456,263.546234,270.789215,270.789215,270.789215,270.789215
2006-01-30,262.392395,267.771454,266.981628,275.257812,268.872253,263.221771,271.203613,271.203613,271.203613,271.203613
2006-01-31,261.898254,266.303894,263.266388,273.873932,269.994873,264.810425,269.017914,269.017914,269.017914,269.017914
2006-02-01,266.000885,261.814484,267.354889,271.851959,264.741333,265.042786,270.964996,270.964996,270.964996,270.964996
2006-02-02,263.409149,263.920898,266.438110,273.094421,264.192535,266.730499,271.627197,271.627197,271.627197,271.627197
2006-02-03,268.256409,269.575226,264.812225,273.770752,268.443115,266.304840,270.744385,270.744385,270.744385,270.744385
2006-02-04,255.704895,267.802307,269.448029,273.037964,270.573059,261.049652,272.953186,272.953186,272.953186,272.953186
2006-02-05,259.236420,267.878784,269.063965,273.506500,269.692383,261.405151,268.556732,268.556732,268.556732,268.556732
2006-02-06,261.629242,270.782898,267.310272,274.161224,270.122375,264.576233,269.255310,269.255310,269.255310,269.255310
2006-02-07,254.710434,270.365509,265.771210,273.785583,271.913208,266.638824,269.949524,269.949524,269.949524,269.949524
2006-02-08,245.332657,268.562042,267.168793,272.328491,271.578796,265.345520,266.784729,266.784729,266.784729,266.784729
2006-02-09,254.326004,266.123016,265.998138,267.733734,271.323700,262.679596,266.892273,266.892273,266.892273,266.892273
2006-02-10,263.155182,268.510315,267.872131,265.342773,273.408661,268.311096,266.759338,266.759338,266.759338,266.759338
2006-02-11,260.664032,269.749603,273.495544,272.253693,275.275726,270.125244,267.158112,267.158112,267.158112,267.158112
2006-02-12,256.456848,270.891785,261.486298,273.403351,272.703339,270.229858,269.171906,269.171906,269.171906,269.171906
2006-02-13,259.694641,269.162018,254.240433,270.227661,271.690399,272.548187,267.311066,267.311066,267.311066,267.311066
2006-02-14,259.276794,269.759979,260.552704,273.322083,270.624084,272.242401,267.187775,267.187775,267.187775,267.187775
2006-02-15,264.711212,269.223877,267.606445,274.677765,272.118439,276.125427,262.010895,262.010895,262.010895,262.010895
2006-02-16,267.935974,270.003784,269.223694,272.106659,271.459595,274.617279,271.273956,271.273956,271.273956,271.273956
2006-02-17,268.506317,270.985260,270.187256,268.259003,272.380707,273.742859,272.113647,272.113647,272.113647,272.113647
2006-02-18,267.194061,272.499786,267.562958,263.176025,273.218597,274.778900,268.183014,268.183014,268.183014,268.183014
2006-02-19,267.772766,273.948547,265.345642,264.761322,273.518433,275.078400,269.434357,269.434357,269.434357,269.434357
2006-02-20,267.709198,273.938538,261.643951,267.723999,271.514526,275.029083,269.395721,269.395721,269.395721,269.395721
2006-02-21,270.611786,275.939392,263.005737,266.136627,272.449768,276.271210,272.327637,272.327637,272.327637,272.327637
2006-02-22,267.414978,273.785217,269.724609,267.149048,272.101013,275.136108,273.030426,273.030426,273.030426,273.030426
2006-02-23,259.924866,268.769440,271.282471,269.474304,271.506378,273.068329,273.627869,273.627869,273.627869,273.627869
2006-02-24,261.314514,267.408142,272.240265,269.859650,276.128021,274.613312,267.426025,267.426025,267.426025,267.426025
2006-02-25,265.497131,267.798035,273.251343,266.158234,271.331879,275.605835,261.272736,261.272736,261.272736,261.272736
2006-02-26,267.207855,265.573730,269.848206,267.192169,270.751190,274.148926,262.176270,262.176270,262.176270,262.176270
2006-02-27,267.772278,265.905426,269.298523,267.928162,270.593414,274.622314,267.483673,267.483673,267.483673,267.483673
2006-02-28,269.057800,269.166443,272.768250,268.528595,268.799683,274.769958,264.946228,264.946228,264.946228,264.946228
