#Variables:
#tasmin_CCSM4_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmin_GFDL-ESM2M_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmin_GFDL-ESM2G_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmin_HadGEM2-CC365_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmin_MIROC5_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmin_NorESM1-M_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmin_bcc-csm1-1_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmin_bcc-csm1-1_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmin_bcc-csm1-1_rcp85(K):Daily Minimum Near-Surface Air Temperature
#tasmin_bcc-csm1-1_rcp85(K):Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 40.3545 Latitude, -117.1889 Longitude (closest value to Latitude:40.3388, Longitude:-117.2018) "
#Original Data File(s):
#agg_macav2metdata_tasmin_CCSM4_r6i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_GFDL-ESM2M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_GFDL-ESM2G_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_HadGEM2-CC365_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_MIROC5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,tasmin_CCSM4_rcp85(K),tasmin_GFDL-ESM2M_rcp85(K),tasmin_GFDL-ESM2G_rcp85(K),tasmin_HadGEM2-CC365_rcp85(K),tasmin_MIROC5_rcp85(K),tasmin_NorESM1-M_rcp85(K),tasmin_bcc-csm1-1_rcp85(K),tasmin_bcc-csm1-1_rcp85(K),tasmin_bcc-csm1-1_rcp85(K),tasmin_bcc-csm1-1_rcp85(K)"
""
yyyy-mm-dd,tasmin_CCSM4_rcp85(K),tasmin_GFDL-ESM2M_rcp85(K),tasmin_GFDL-ESM2G_rcp85(K),tasmin_HadGEM2-CC365_rcp85(K),tasmin_MIROC5_rcp85(K),tasmin_NorESM1-M_rcp85(K),tasmin_bcc-csm1-1_rcp85(K),tasmin_bcc-csm1-1_rcp85(K),tasmin_bcc-csm1-1_rcp85(K),tasmin_bcc-csm1-1_rcp85(K)
2006-01-01,265.222382,261.204071,270.654297,260.948120,267.548492,269.456635,271.152466,271.152466,271.152466,271.152466
2006-01-02,264.453400,262.024323,272.018433,259.378052,268.105438,269.618195,268.489838,268.489838,268.489838,268.489838
2006-01-03,264.978180,263.913605,271.563202,258.211548,266.049561,270.484406,267.413574,267.413574,267.413574,267.413574
2006-01-04,266.186523,260.400452,270.964569,265.143707,265.819824,270.623383,266.519165,266.519165,266.519165,266.519165
2006-01-05,265.910065,259.788605,274.623138,267.037842,264.273773,271.911957,266.438324,266.438324,266.438324,266.438324
2006-01-06,265.675262,261.195618,269.106720,268.862305,266.399445,271.593811,266.508789,266.508789,266.508789,266.508789
2006-01-07,269.056183,262.054382,266.172516,261.494934,263.034912,269.111603,265.843323,265.843323,265.843323,265.843323
2006-01-08,264.641937,263.961548,265.338989,258.390472,262.290466,266.469452,268.278992,268.278992,268.278992,268.278992
2006-01-09,264.934875,264.802765,268.510010,263.342865,268.483521,268.237183,270.696686,270.696686,270.696686,270.696686
2006-01-10,264.837830,265.194031,268.973511,264.573700,266.446533,266.819641,271.002747,271.002747,271.002747,271.002747
2006-01-11,264.676910,266.597076,266.856567,264.348358,265.568329,264.908447,265.194977,265.194977,265.194977,265.194977
2006-01-12,264.509644,265.039032,266.474945,257.182617,265.545837,263.082916,262.250427,262.250427,262.250427,262.250427
2006-01-13,266.439972,264.828217,265.954498,256.971924,267.717987,261.514587,259.905670,259.905670,259.905670,259.905670
2006-01-14,264.934540,268.136017,262.135986,261.116943,269.976471,262.472076,261.428864,261.428864,261.428864,261.428864
2006-01-15,265.859406,266.922028,257.526978,267.444550,265.735901,265.038757,263.138062,263.138062,263.138062,263.138062
2006-01-16,266.357727,271.798431,255.722610,271.192688,266.509033,266.286957,263.586670,263.586670,263.586670,263.586670
2006-01-17,266.979767,268.091980,262.925293,269.614410,264.242859,265.969147,265.161102,265.161102,265.161102,265.161102
2006-01-18,269.169067,270.752472,262.934967,270.367950,263.229187,263.019196,265.453064,265.453064,265.453064,265.453064
2006-01-19,271.066925,266.917816,269.918091,270.073090,263.221954,261.541260,264.310852,264.310852,264.310852,264.310852
2006-01-20,269.509155,262.758392,270.612915,267.272034,264.677582,260.534485,261.896790,261.896790,261.896790,261.896790
2006-01-21,269.427216,261.098694,263.915802,263.562683,265.862396,261.392426,261.023987,261.023987,261.023987,261.023987
2006-01-22,270.868073,261.987000,261.096832,263.225891,264.612793,263.088959,260.407898,260.407898,260.407898,260.407898
2006-01-23,272.704346,259.122589,258.496185,260.209839,262.596802,262.078125,264.394714,264.394714,264.394714,264.394714
2006-01-24,274.392883,258.192596,259.606018,261.403778,262.770996,262.215942,266.645905,266.645905,266.645905,266.645905
2006-01-25,267.632080,256.036743,262.313446,263.204895,263.278351,263.458130,266.326508,266.326508,266.326508,266.326508
2006-01-26,270.275085,257.845703,262.014252,260.204346,264.785339,260.524597,263.874207,263.874207,263.874207,263.874207
2006-01-27,264.033997,259.984802,262.095612,259.002563,264.420532,259.244904,264.278595,264.278595,264.278595,264.278595
2006-01-28,263.151123,259.514557,265.810638,260.758331,264.632416,260.055939,263.508545,263.508545,263.508545,263.508545
2006-01-29,263.709381,260.092163,269.150757,261.992584,265.504517,260.918030,264.790680,264.790680,264.790680,264.790680
2006-01-30,268.681763,258.703613,267.433563,263.549805,267.035004,261.156433,263.411621,263.411621,263.411621,263.411621
2006-01-31,271.514282,260.869141,260.970703,269.854858,270.900970,260.868683,262.872528,262.872528,262.872528,262.872528
