#Variables:
#pr_CCSM4_rcp85(mm):Precipitation
#pr_GFDL-ESM2M_rcp85(mm):Precipitation
#pr_GFDL-ESM2G_rcp85(mm):Precipitation
#pr_HadGEM2-CC365_rcp85(mm):Precipitation
#pr_MIROC5_rcp85(mm):Precipitation
#pr_NorESM1-M_rcp85(mm):Precipitation
#pr_bcc-csm1-1_rcp85(mm):Precipitation
#pr_bcc-csm1-1_rcp85(mm):Precipitation
#pr_bcc-csm1-1_rcp85(mm):Precipitation
#pr_bcc-csm1-1_rcp85(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 40.3545 Latitude, -117.1889 Longitude (closest value to Latitude:40.3388, Longitude:-117.2018) "
#Original Data File(s):
#agg_macav2metdata_pr_CCSM4_r6i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_GFDL-ESM2M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_GFDL-ESM2G_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_HadGEM2-CC365_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_MIROC5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,pr_CCSM4_rcp85(mm),pr_GFDL-ESM2M_rcp85(mm),pr_GFDL-ESM2G_rcp85(mm),pr_HadGEM2-CC365_rcp85(mm),pr_MIROC5_rcp85(mm),pr_NorESM1-M_rcp85(mm),pr_bcc-csm1-1_rcp85(mm),pr_bcc-csm1-1_rcp85(mm),pr_bcc-csm1-1_rcp85(mm),pr_bcc-csm1-1_rcp85(mm)"
""
yyyy-mm-dd,pr_CCSM4_rcp85(mm),pr_GFDL-ESM2M_rcp85(mm),pr_GFDL-ESM2G_rcp85(mm),pr_HadGEM2-CC365_rcp85(mm),pr_MIROC5_rcp85(mm),pr_NorESM1-M_rcp85(mm),pr_bcc-csm1-1_rcp85(mm),pr_bcc-csm1-1_rcp85(mm),pr_bcc-csm1-1_rcp85(mm),pr_bcc-csm1-1_rcp85(mm)
2006-01-01,4.719612,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-02,0.000000,0.000000,1.164950,0.000000,0.631655,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-03,1.510724,0.000000,5.830142,0.000000,0.590606,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-04,17.079733,0.000000,2.828879,0.000000,0.000000,0.708757,0.000000,0.000000,0.000000,0.000000
2006-01-05,2.578567,0.000000,0.289948,0.000000,0.000000,2.271685,0.000000,0.000000,0.000000,0.000000
2006-01-06,1.138555,0.000000,1.102309,0.000000,1.673260,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-07,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-08,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-09,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-10,0.000000,0.000000,0.000000,1.144879,0.000000,0.000000,0.961618,0.961618,0.961618,0.961618
2006-01-11,0.000000,0.000000,11.069163,0.639583,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-12,0.906401,0.000000,1.058768,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-13,1.077654,0.000000,0.000000,0.000000,0.638533,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-14,0.000000,0.000000,0.000000,0.000000,2.199610,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-15,2.713546,0.000000,0.298332,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-16,0.695626,1.717797,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-17,3.240881,13.655587,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-18,3.011342,4.879964,0.756929,0.000000,0.000000,0.000000,0.284161,0.284161,0.284161,0.284161
2006-01-19,6.011652,1.050648,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-20,0.000000,0.000000,0.000000,1.681902,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-21,0.000000,0.000000,0.000000,0.458262,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-22,0.000000,0.000000,0.000000,0.381841,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-23,1.902327,0.000000,0.000000,0.000000,0.309182,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-24,0.422359,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-25,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-26,1.350291,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-27,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-29,0.000000,0.000000,0.000000,0.000000,1.294850,0.000000,0.000000,0.000000,0.000000,0.000000
