#Variables:
#rsds_CCSM4_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_GFDL-ESM2M_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_GFDL-ESM2G_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_HadGEM2-CC365_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_MIROC5_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_NorESM1-M_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_bcc-csm1-1_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_bcc-csm1-1_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_bcc-csm1-1_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_bcc-csm1-1_rcp45(Wm-2):Surface Downwelling Shortwave Radiation
"#Data Extracted for Average over Grid Cell w/ center: 40.3545 Latitude, -117.1889 Longitude (closest value to Latitude:40.3384, Longitude:-117.2018) "
#Original Data File(s):
#agg_macav2metdata_rsds_CCSM4_r6i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_GFDL-ESM2M_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_GFDL-ESM2G_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_HadGEM2-CC365_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_MIROC5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_NorESM1-M_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,rsds_CCSM4_rcp45(Wm-2),rsds_GFDL-ESM2M_rcp45(Wm-2),rsds_GFDL-ESM2G_rcp45(Wm-2),rsds_HadGEM2-CC365_rcp45(Wm-2),rsds_MIROC5_rcp45(Wm-2),rsds_NorESM1-M_rcp45(Wm-2),rsds_bcc-csm1-1_rcp45(Wm-2),rsds_bcc-csm1-1_rcp45(Wm-2),rsds_bcc-csm1-1_rcp45(Wm-2),rsds_bcc-csm1-1_rcp45(Wm-2)"
""
yyyy-mm-dd,rsds_CCSM4_rcp45(Wm-2),rsds_GFDL-ESM2M_rcp45(Wm-2),rsds_GFDL-ESM2G_rcp45(Wm-2),rsds_HadGEM2-CC365_rcp45(Wm-2),rsds_MIROC5_rcp45(Wm-2),rsds_NorESM1-M_rcp45(Wm-2),rsds_bcc-csm1-1_rcp45(Wm-2),rsds_bcc-csm1-1_rcp45(Wm-2),rsds_bcc-csm1-1_rcp45(Wm-2),rsds_bcc-csm1-1_rcp45(Wm-2)
2006-01-01,94.652214,95.666000,55.655476,49.680161,59.497204,79.585472,73.798447,73.798447,73.798447,73.798447
2006-01-02,75.360413,74.425499,51.724129,56.241497,65.502579,87.261971,85.385536,85.385536,85.385536,85.385536
2006-01-03,94.813080,97.634933,50.787815,95.299217,88.161781,71.013367,87.766235,87.766235,87.766235,87.766235
2006-01-04,71.360367,98.140022,45.877869,92.958397,92.060135,50.502068,87.386803,87.386803,87.386803,87.386803
2006-01-05,93.005028,98.394760,44.201405,91.168442,89.938858,52.137661,83.213074,83.213074,83.213074,83.213074
2006-01-06,53.681828,98.321815,73.516647,99.685028,80.328743,76.635178,77.642647,77.642647,77.642647,77.642647
2006-01-07,77.857178,96.579163,91.994888,76.772888,90.485344,80.913109,52.386292,52.386292,52.386292,52.386292
2006-01-08,80.363892,94.635986,79.747658,92.043213,72.409149,91.477661,48.039028,48.039028,48.039028,48.039028
2006-01-09,44.036934,91.022972,86.090996,93.678833,86.029449,91.465683,61.496563,61.496563,61.496563,61.496563
2006-01-10,63.713417,99.003021,79.649086,95.390617,93.871788,92.566948,58.275959,58.275959,58.275959,58.275959
2006-01-11,68.878326,77.867935,55.678017,99.142967,92.631454,96.632858,63.267056,63.267056,63.267056,63.267056
2006-01-12,67.124680,96.414101,66.559036,97.578560,94.296730,96.387650,91.876648,91.876648,91.876648,91.876648
2006-01-13,71.117355,64.785164,87.834045,96.811493,80.378410,96.942467,99.838036,99.838036,99.838036,99.838036
2006-01-14,69.209236,90.282326,90.595863,95.709892,61.165676,96.662766,101.062119,101.062119,101.062119,101.062119
2006-01-15,64.838318,44.689968,83.151779,99.583626,87.389656,89.291870,101.125832,101.125832,101.125832,101.125832
2006-01-16,92.276199,36.721519,73.753746,100.731148,77.451988,91.818008,102.861160,102.861160,102.861160,102.861160
2006-01-17,106.559113,34.580669,76.443619,47.398590,94.972038,93.268906,99.494492,99.494492,99.494492,99.494492
2006-01-18,83.162064,94.403107,87.171211,39.385662,42.112198,103.776711,92.476265,92.476265,92.476265,92.476265
2006-01-19,102.003090,94.570450,83.013718,41.772507,88.994522,82.168648,104.343262,104.343262,104.343262,104.343262
2006-01-20,96.595047,98.379303,66.116295,50.961235,72.829033,108.333099,107.787163,107.787163,107.787163,107.787163
2006-01-21,78.895851,111.726692,93.806343,79.033905,90.600586,96.748772,106.224113,106.224113,106.224113,106.224113
2006-01-22,98.502769,112.250214,75.296242,75.598495,70.200569,109.394241,118.389099,118.389099,118.389099,118.389099
2006-01-23,65.017265,96.338142,76.091843,56.572899,95.041641,119.834663,120.734131,120.734131,120.734131,120.734131
2006-01-24,78.075523,110.230545,90.457710,55.313583,117.399574,108.168419,105.679634,105.679634,105.679634,105.679634
2006-01-25,74.815773,97.103867,100.265755,73.000381,80.083511,118.729919,78.422417,78.422417,78.422417,78.422417
2006-01-26,70.445564,119.665970,96.609642,77.933022,71.725456,124.652969,92.972168,92.972168,92.972168,92.972168
2006-01-27,69.366165,119.592201,122.543678,72.962975,35.278450,123.903023,122.082314,122.082314,122.082314,122.082314
2006-01-28,69.987206,92.047432,123.845070,76.902824,43.460258,122.392540,104.522186,104.522186,104.522186,104.522186
2006-01-29,103.465248,60.490635,105.330757,76.771355,46.029682,123.459587,89.320518,89.320518,89.320518,89.320518
