#Variables:
#rsds_CCSM4_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_GFDL-ESM2M_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_GFDL-ESM2G_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_HadGEM2-CC365_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_MIROC5_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_NorESM1-M_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_bcc-csm1-1_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_bcc-csm1-1_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_bcc-csm1-1_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
#rsds_bcc-csm1-1_rcp85(Wm-2):Surface Downwelling Shortwave Radiation
"#Data Extracted for Average over Grid Cell w/ center: 40.3545 Latitude, -117.1889 Longitude (closest value to Latitude:40.3388, Longitude:-117.2018) "
#Original Data File(s):
#agg_macav2metdata_rsds_CCSM4_r6i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_GFDL-ESM2M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_GFDL-ESM2G_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_HadGEM2-CC365_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_MIROC5_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_rsds_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_daily.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,rsds_CCSM4_rcp85(Wm-2),rsds_GFDL-ESM2M_rcp85(Wm-2),rsds_GFDL-ESM2G_rcp85(Wm-2),rsds_HadGEM2-CC365_rcp85(Wm-2),rsds_MIROC5_rcp85(Wm-2),rsds_NorESM1-M_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2)"
""
yyyy-mm-dd,rsds_CCSM4_rcp85(Wm-2),rsds_GFDL-ESM2M_rcp85(Wm-2),rsds_GFDL-ESM2G_rcp85(Wm-2),rsds_HadGEM2-CC365_rcp85(Wm-2),rsds_MIROC5_rcp85(Wm-2),rsds_NorESM1-M_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2),rsds_bcc-csm1-1_rcp85(Wm-2)
2006-01-01,56.741707,94.529701,53.754101,84.764153,59.903122,80.015541,73.199608,73.199608,73.199608,73.199608
2006-01-02,72.900986,74.119476,50.720963,93.622368,60.908295,87.217857,85.558937,85.558937,85.558937,85.558937
2006-01-03,64.431458,95.672295,52.010132,81.191238,87.277435,70.858459,87.205261,87.205261,87.205261,87.205261
2006-01-04,53.665920,96.774727,46.482670,87.411247,93.416702,54.323624,85.172173,85.172173,85.172173,85.172173
2006-01-05,69.926331,97.531776,43.482815,69.073883,86.578796,53.142342,81.778435,81.778435,81.778435,81.778435
2006-01-06,47.595474,97.277451,76.608467,66.938011,80.035378,75.228661,81.004158,81.004158,81.004158,81.004158
2006-01-07,83.103149,94.683846,91.208542,68.769806,93.122032,81.697105,56.891613,56.891613,56.891613,56.891613
2006-01-08,92.075203,97.150284,80.068626,95.062958,89.045731,88.890999,59.403141,59.403141,59.403141,59.403141
2006-01-09,91.861145,93.850670,85.806290,60.044807,92.661659,90.344170,66.183243,66.183243,66.183243,66.183243
2006-01-10,91.690857,97.506729,85.972244,68.291748,93.977859,85.358658,60.263584,60.263584,60.263584,60.263584
2006-01-11,92.355171,80.426254,53.248096,59.966022,90.647636,96.770470,85.954231,85.954231,85.954231,85.954231
2006-01-12,75.215034,97.263405,67.994728,79.659065,94.373161,95.472404,84.611526,84.611526,84.611526,84.611526
2006-01-13,78.635704,75.213188,84.447037,94.615120,59.694374,96.910889,95.046539,95.046539,95.046539,95.046539
2006-01-14,80.858665,87.014427,94.417572,63.403469,80.625847,95.009415,85.282013,85.282013,85.282013,85.282013
2006-01-15,69.116287,52.993820,99.557899,70.464317,91.844528,74.987885,91.944504,91.944504,91.944504,91.944504
2006-01-16,80.978188,39.708603,105.119591,75.344803,102.090515,84.496597,81.134621,81.134621,81.134621,81.134621
2006-01-17,65.254997,32.410023,82.668503,89.605057,103.337906,83.471581,77.880341,77.880341,77.880341,77.880341
2006-01-18,69.045570,75.224228,58.931900,92.139809,94.733917,104.505157,67.228218,67.228218,67.228218,67.228218
2006-01-19,48.028103,73.834419,61.506077,40.185566,93.484085,107.210396,83.360405,83.360405,83.360405,83.360405
2006-01-20,78.676521,91.483452,52.134552,67.058014,95.704277,110.612320,106.424126,106.424126,106.424126,106.424126
2006-01-21,81.820412,95.138344,95.823166,70.877136,57.781513,88.192444,111.150307,111.150307,111.150307,111.150307
2006-01-22,46.695915,80.965744,119.560555,79.391068,76.991447,88.985245,92.596077,92.596077,92.596077,92.596077
2006-01-23,53.586361,101.555031,95.862312,99.259056,79.109444,106.764267,85.755234,85.755234,85.755234,85.755234
2006-01-24,58.525745,117.211761,98.154861,100.573608,90.037666,110.503685,88.144028,88.144028,88.144028,88.144028
2006-01-25,88.006683,121.038033,118.997940,72.852242,80.744537,97.388481,88.812851,88.812851,88.812851,88.812851
2006-01-26,65.216599,95.518684,90.283363,89.212730,78.693306,124.652115,113.474884,113.474884,113.474884,113.474884
2006-01-27,113.639626,97.139755,124.133400,111.726051,65.149620,124.905853,108.554138,108.554138,108.554138,108.554138
2006-01-28,114.607956,96.675972,87.157211,112.521179,102.068466,107.207047,111.183594,111.183594,111.183594,111.183594
2006-01-29,114.542290,95.431419,104.650681,107.044991,81.090431,122.420212,88.017143,88.017143,88.017143,88.017143
