#Variables:
#pr_CCSM4_rcp45(mm):Precipitation
#pr_GFDL-ESM2M_rcp45(mm):Precipitation
#pr_GFDL-ESM2G_rcp45(mm):Precipitation
#pr_HadGEM2-CC365_rcp45(mm):Precipitation
#pr_MIROC5_rcp45(mm):Precipitation
#pr_NorESM1-M_rcp45(mm):Precipitation
#pr_bcc-csm1-1_rcp45(mm):Precipitation
#pr_bcc-csm1-1_rcp45(mm):Precipitation
#pr_bcc-csm1-1_rcp45(mm):Precipitation
#pr_bcc-csm1-1_rcp45(mm):Precipitation
"#Data Extracted for Average over Grid Cell w/ center: 40.3545 Latitude, -117.1889 Longitude (closest value to Latitude:40.3384, Longitude:-117.2018) "
#Original Data File(s):
#agg_macav2metdata_pr_CCSM4_r6i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_GFDL-ESM2M_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_GFDL-ESM2G_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_HadGEM2-CC365_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_MIROC5_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_NorESM1-M_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp45_2006_2099_CONUS_daily.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,pr_CCSM4_rcp45(mm),pr_GFDL-ESM2M_rcp45(mm),pr_GFDL-ESM2G_rcp45(mm),pr_HadGEM2-CC365_rcp45(mm),pr_MIROC5_rcp45(mm),pr_NorESM1-M_rcp45(mm),pr_bcc-csm1-1_rcp45(mm),pr_bcc-csm1-1_rcp45(mm),pr_bcc-csm1-1_rcp45(mm),pr_bcc-csm1-1_rcp45(mm)"
""
yyyy-mm-dd,pr_CCSM4_rcp45(mm),pr_GFDL-ESM2M_rcp45(mm),pr_GFDL-ESM2G_rcp45(mm),pr_HadGEM2-CC365_rcp45(mm),pr_MIROC5_rcp45(mm),pr_NorESM1-M_rcp45(mm),pr_bcc-csm1-1_rcp45(mm),pr_bcc-csm1-1_rcp45(mm),pr_bcc-csm1-1_rcp45(mm),pr_bcc-csm1-1_rcp45(mm)
2006-01-01,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-02,0.000000,0.000000,1.211308,0.920080,0.979038,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-03,0.000000,0.000000,7.023219,0.000000,1.707797,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-04,0.979026,0.000000,1.446250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-05,0.000000,0.000000,0.000000,0.000000,0.000000,1.550807,0.000000,0.000000,0.000000,0.000000
2006-01-06,2.652923,0.000000,1.015746,0.000000,1.927941,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-07,6.706480,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-08,0.758705,0.000000,0.000000,0.000000,0.000000,0.000000,0.545543,0.545543,0.545543,0.545543
2006-01-09,0.692383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-10,0.332842,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-11,0.000000,0.000000,12.217621,0.000000,0.000000,0.000000,1.284445,1.284445,1.284445,1.284445
2006-01-12,0.000000,0.000000,0.610131,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-13,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-14,1.114581,0.000000,0.000000,0.000000,1.788251,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-15,2.775740,1.537758,0.962171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-16,0.000000,5.084613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-17,0.000000,5.840284,1.939588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-18,0.298238,1.120860,0.000000,8.590456,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-19,0.000000,0.000000,0.000000,12.200314,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-20,0.000000,0.000000,0.000000,5.857489,0.306439,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-21,1.148954,0.000000,0.000000,19.070934,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-22,1.932651,0.000000,0.000000,6.760614,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-23,0.000000,0.000000,2.093726,1.377274,1.166750,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-24,0.388040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-25,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-26,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-27,0.000000,0.000000,0.000000,0.000000,1.378735,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-28,3.686296,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-29,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-30,0.000000,0.000000,1.790941,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-01-31,0.000000,0.000000,0.000000,0.000000,0.558837,0.000000,0.000000,0.000000,0.000000,0.000000
2006-02-01,1.189291,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-02-02,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-02-03,0.293316,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-02-04,0.000000,7.268056,0.000000,0.000000,0.000000,0.000000,2.902584,2.902584,2.902584,2.902584
2006-02-05,0.312030,3.519932,0.345836,0.000000,0.000000,0.000000,0.457434,0.457434,0.457434,0.457434
2006-02-06,2.304138,2.674070,0.287871,0.000000,0.000000,0.612306,0.000000,0.000000,0.000000,0.000000
2006-02-07,0.000000,2.389842,0.297122,0.000000,0.000000,3.718357,0.000000,0.000000,0.000000,0.000000
2006-02-08,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-02-09,0.000000,0.000000,0.000000,0.000000,0.000000,4.250097,0.000000,0.000000,0.000000,0.000000
2006-02-10,0.000000,0.000000,0.000000,0.000000,0.627738,4.946403,0.000000,0.000000,0.000000,0.000000
2006-02-11,1.043955,0.000000,5.412351,1.340540,2.339935,0.000000,0.000000,0.000000,0.000000,0.000000
2006-02-12,0.000000,0.000000,0.000000,7.949007,0.000000,0.753298,2.871016,2.871016,2.871016,2.871016
2006-02-13,0.000000,0.000000,0.000000,5.226623,0.000000,2.164028,2.256895,2.256895,2.256895,2.256895
2006-02-14,0.000000,0.000000,0.000000,3.323930,0.000000,0.000000,0.844178,0.844178,0.844178,0.844178
2006-02-15,0.000000,0.000000,0.000000,0.000000,0.488243,0.000000,0.702164,0.702164,0.702164,0.702164
2006-02-16,3.230920,0.000000,0.000000,0.000000,0.000000,0.000000,5.125020,5.125020,5.125020,5.125020
2006-02-17,4.255264,0.000000,0.000000,0.000000,0.000000,0.000000,0.992880,0.992880,0.992880,0.992880
2006-02-18,6.196976,0.285512,0.000000,0.000000,0.000000,0.000000,0.549403,0.549403,0.549403,0.549403
2006-02-19,9.997021,0.000000,0.000000,0.000000,0.000000,0.000000,0.733931,0.733931,0.733931,0.733931
2006-02-20,0.280123,0.000000,0.000000,0.000000,0.000000,0.872914,0.797320,0.797320,0.797320,0.797320
2006-02-21,3.120210,0.000000,0.000000,0.000000,0.000000,1.026616,0.936492,0.936492,0.936492,0.936492
2006-02-22,0.000000,0.589507,3.492442,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-02-23,0.000000,0.282319,0.000000,0.000000,0.000000,0.000000,2.956878,2.956878,2.956878,2.956878
2006-02-24,0.000000,0.000000,5.196128,0.000000,0.495921,0.000000,2.979929,2.979929,2.979929,2.979929
2006-02-25,0.000000,0.000000,10.328469,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-02-26,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-02-27,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.057146,2.057146,2.057146,2.057146
2006-02-28,0.000000,0.626924,0.000000,0.000000,0.000000,0.000000,0.657992,0.657992,0.657992,0.657992
2006-03-01,0.628854,2.113823,0.000000,0.736066,0.000000,0.000000,1.394271,1.394271,1.394271,1.394271
2006-03-02,0.000000,2.219570,2.982401,2.637488,0.312529,0.000000,2.466557,2.466557,2.466557,2.466557
2006-03-03,0.000000,0.000000,3.083580,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-03-04,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-03-05,0.000000,1.388465,0.420570,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2006-03-06,0.000000,6.619293,2.062065,0.000000,0.419708,0.000000,0.000000,0.000000,0.000000,0.000000
